start date	wheel	(isotope)							version	test_pulses_gen_per_cycle
5/12/24	TW3546	14C	0	0	0	N	N	N	2.04	2	0	0	0	0	0	0	0

timestamp	run	(block)	position	TP#	(stnd)	14Ccnts	(cnts)	Tdetect	BeacGen	BeacROI	LTF	(%DT)	13Ccurr	(13Ccurr_stdev)	(13Ctime)	12Ccurr	(12Ctime)	12CLEcurr	(12CLEtime)	(CathCurr)	(MPAtime)	(MPAcnts)	(MPAtime)	(MPAcnts)	(MPAtime)	(MPAcnts)
11:51:40	0	0	0	89586	0	34476	0	180	3600	3589	0.9979	0	1129.64	0	0	101376	0	59.984	0	0	0	0	0	0	0	0
11:51:50	5	0	5	89570	0	27011	0	180	3600	3592	0.99831	0	877.6	0	0	79060	0	46.955	0	0	0	0	0	0	0	0
12:09:20	10	0	10	89596	0	33329	0	180	3600	3593	0.99796	0	1086.96	0	0	97444	0	57.796	0	0	0	0	0	0	0	0
12:26:50	15	0	15	89583	0	27771	0	180	3600	3592	0.99827	0	903.08	0	0	81144	0	48.272	0	0	0	0	0	0	0	0
12:44:20	20	0	20	89608	0	32106	0	180	3600	3590	0.99803	0	1037.04	0	0	93068	0	55.282	0	0	0	0	0	0	0	0
13:01:50	25	0	25	89585	0	34846	0	180	3600	3588	0.99788	0	1131.16	0	0	101336	0	60.315	0	0	0	0	0	0	0	0
13:19:20	30	0	30	89522	0	38356	0	180	3600	3592	0.99769	0	1247.16	0	0	111336	0	66.215	0	0	0	0	0	0	0	0
13:36:50	35	0	35	89584	0	24303	0	180	3600	3592	0.99846	0	785.52	0	0	70800	0	41.764	0	0	0	0	0	0	0	0
13:54:20	40	0	0	89586	0	31050	0	180	3600	3591	0.99809	0	1007.96	0	0	90556	0	53.642	0	0	0	0	0	0	0	0
14:11:50	45	0	5	89570	0	27525	0	180	3600	3592	0.99828	0	904.16	0	0	81404	0	48.325	0	0	0	0	0	0	0	0
14:29:20	50	0	10	89596	0	35089	0	180	3600	3589	0.99787	0	1143.6	0	0	102452	0	60.874	0	0	0	0	0	0	0	0
14:46:50	55	0	15	89583	0	27052	0	180	3600	3593	0.99831	0	887.04	0	0	79736	0	47.389	0	0	0	0	0	0	0	0
15:04:20	60	0	20	89608	0	33322	0	180	3600	3593	0.99796	0	1092.04	0	0	97936	0	58.115	0	0	0	0	0	0	0	0
15:21:50	65	0	25	89585	0	34307	0	180	3600	3594	0.99791	0	1118.8	0	0	100388	0	59.686	0	0	0	0	0	0	0	0
15:39:20	70	0	30	89522	0	38208	0	180	3600	3588	0.9977	0	1244.6	0	0	111092	0	66.121	0	0	0	0	0	0	0	0
15:56:50	75	0	35	89584	0	24137	0	180	3600	3589	0.99847	0	788.96	0	0	71112	0	41.942	0	0	0	0	0	0	0	0
16:14:20	80	0	0	89586	0	31697	0	180	3600	3594	0.99805	0	1034.04	0	0	92944	0	55.021	0	0	0	0	0	0	0	0
